INDEX,S1,S2,S3,S4
73417,9,12,1,-10
73418,8,-9,-6,-10
73419,6,5,1,-6
73420,-5,11,14,13
73421,2,-6,7,10
73422,14,-2,12,-9
73423,-6,-11,-8,-9
73424,5,-9,-1,-10
73425,11,9,-4,-5
73426,-6,7,-2,-2
73427,-5,10,-11,15
73428,-9,-9,-7,-6
73429,-2,-5,-13,4
73430,-4,-14,-2,10
73431,12,1,5,11
73432,-13,-8,-4,6
73433,13,-8,10,-15
73434,-9,-13,8,-13
73435,14,11,8,-9
73436,-6,-4,-4,12
73437,4,2,-1,-11
73438,15,7,-13,8
73439,12,-9,-5,3
73440,4,2,-7,6
73441,4,-14,15,-7
73442,4,3,-6,-15
73443,-4,-6,-15,-15
73444,15,-12,9,-9
73445,5,-8,-3,-15
73446,-7,6,-10,2
73447,1,5,13,-7
73448,11,2,-2,-11
73449,-8,9,9,-4
73450,5,-7,2,-4
73451,9,14,14,-5
73452,4,-4,3,2
73453,-5,-6,0,-10
73454,-8,-1,-10,-4
73455,-4,5,8,11
73456,-3,-12,1,5
73457,-13,-14,14,-7
73458,-3,10,10,14
73459,-4,11,-1,-15
73460,0,11,4,12
73461,-14,-4,10,-1
73462,-14,-11,12,14
73463,-4,7,-8,3
73464,8,9,1,13
73465,0,-2,14,-14
73466,-7,5,-11,0
73467,-10,-14,11,8
73468,-11,-2,15,-10
73469,14,10,-2,4
73470,3,0,0,9
73471,9,13,-14,-1
73472,-2,10,-4,-7
73473,11,-4,-3,12
73474,13,-7,0,-9
73475,-5,9,10,-10
73476,13,-3,3,5
73477,-10,6,-11,-1
73478,-5,12,2,8
73479,-5,0,-2,12
73480,9,14,9,11
73481,-1,-6,-2,13
73482,5,-3,9,-5
73483,-10,-14,-9,-14
73484,7,-13,-4,2
73485,-13,13,-9,9
73486,6,1,13,15
73487,3,3,9,13
73488,-12,-3,6,1
73489,0,-11,-6,3
73490,-3,-4,-10,-4
73491,-5,6,1,11
73492,-9,-5,10,-11
73493,-2,6,6,6
73494,-10,-1,7,-14
73495,5,-7,-15,-5
73496,12,12,-6,2
73497,-7,8,3,8
73498,8,-13,8,12
73499,-11,11,11,-11
73500,3,9,-1,-8
73501,14,-8,13,-6
73502,7,-3,-6,-15
73503,12,-14,12,-5
73504,-9,2,-3,11
73505,-13,-15,11,11
73506,-5,14,9,-10
73507,15,5,14,-1
73508,3,-12,-2,1
73509,-11,0,1,-3
73510,12,-11,12,-10
73511,-12,-15,13,-11
73512,-8,-9,-6,-10
73513,-9,-14,-10,-6
73514,-10,11,12,-4
73515,-4,-1,-4,10
73516,14,-1,9,-5
73517,10,-8,-14,13
73518,-12,1,10,-7
73519,-1,4,-2,2
73520,5,-5,-4,-3
73521,13,-3,-6,14
73522,-2,4,2,-5
73523,-9,-2,-9,13
73524,-11,-15,11,1
73525,11,-13,-7,-9
73526,-9,-8,8,10
73527,3,6,5,7
73528,4,-2,-3,-3
73529,-15,6,-4,15
73530,2,12,15,13
73531,8,-4,5,-9
73532,13,-3,-11,-14
73533,11,-8,10,-2
73534,-14,-14,9,1
73535,2,3,-12,3
73536,-11,3,9,-2
73537,-9,-12,-14,15
73538,-7,5,-12,-13
73539,13,-2,1,1
73540,-10,-1,-12,7
73541,10,-15,5,-8
73542,-14,5,-3,-13
73543,1,2,-1,-1
73544,-14,-6,-12,-7
73545,-6,6,-3,-3
73546,5,7,15,-10
73547,-14,2,-10,7
73548,-4,-13,5,11
73549,12,-14,-2,-12
73550,-14,-3,-4,2
73551,-11,-6,3,9
73552,-4,7,-3,-12
73553,10,-5,-4,8
73554,11,-8,-2,3
73555,9,9,-9,-15
73556,7,-6,15,-12
73557,-7,-3,-12,9
73558,-2,-15,14,-9
73559,6,12,-3,0
73560,-10,-3,-9,11
73561,-13,-6,-4,-1
73562,8,-2,11,10
73563,0,0,-9,-11
73564,-4,-8,3,-15
73565,10,-10,9,-4
73566,4,10,-1,14
73567,14,-1,-9,6
73568,-5,5,15,-3
73569,1,-15,-2,12
73570,2,-13,-1,-9
73571,-9,-15,8,8
73572,-10,0,-6,-12
73573,-1,-7,-12,1
73574,-12,-6,8,9
73575,-4,5,-6,0
73576,-6,2,-7,-10
73577,-8,12,-11,11
73578,-15,-5,-5,13
73579,8,15,3,-9
73580,-1,12,8,-15
73581,10,-8,11,-4
73582,10,-8,7,4
73583,-2,7,-13,-1
73584,11,-2,-10,0
73585,-10,9,-8,-6
73586,-2,-5,5,11
73587,-9,-5,0,5
73588,-5,-7,-2,-10
73589,7,-2,-5,-12
73590,-4,0,-7,-14
73591,4,-5,-11,-1
73592,7,-8,9,9
73593,13,12,7,14
73594,7,6,-4,-7
73595,14,14,5,-3
73596,14,4,14,-1
73597,15,-6,-12,10
73598,-11,-4,4,13
73599,-14,7,10,-10
73600,-9,8,-12,11
73601,-15,-13,-13,13
73602,-2,1,5,-11
73603,7,6,0,9
73604,-4,-12,0,-2
73605,7,8,2,-13
73606,0,5,1,3
73607,11,-12,-3,-15
73608,-13,2,-11,-8
73609,-15,6,-2,0
73610,4,-13,-11,13
73611,12,15,9,-2
73612,4,15,13,-11
73613,14,10,2,10
73614,7,-11,15,0
73615,-2,12,9,-6
73616,-4,0,9,-2
73617,-15,-1,3,4
73618,-15,3,-11,-12
73619,11,-5,-1,8
73620,9,-7,7,-13
73621,-11,-8,14,12
73622,-4,15,11,-8
73623,-10,-11,-7,4
73624,0,8,-7,13
73625,6,15,12,-14
73626,4,-3,5,2
73627,-7,-5,7,-8
73628,-15,11,-1,2
73629,3,-10,7,5
73630,8,0,3,-9
73631,12,-6,-6,-9
73632,7,4,11,11
73633,6,6,7,14
73634,13,-8,-8,15
73635,9,2,8,10
73636,-15,-15,-3,1
73637,7,11,-8,-2
73638,11,-4,11,1
73639,-10,5,6,-4
73640,10,5,-11,13
73641,-15,14,-14,-11
73642,-1,-5,-7,12
73643,-9,-15,-1,4
73644,-12,2,8,14
73645,15,-4,13,-1
73646,8,-6,1,2
73647,-8,12,-1,9
73648,0,-11,-1,-8
73649,-2,-2,4,-13
73650,-7,5,-15,7
73651,-6,10,10,-1
73652,-11,0,-3,7
73653,-10,3,12,5
73654,7,11,8,10
73655,-9,6,-4,3
73656,-3,-5,-5,4
73657,0,4,-1,-4
73658,-14,4,-15,6
73659,4,-15,-1,-1
73660,-11,6,-11,-1
73661,14,15,14,-11
73662,-9,8,1,13
73663,1,-4,-3,-10
73664,5,0,-6,4
73665,3,-7,0,1
73666,4,11,3,3
73667,9,3,4,-4
73668,9,3,4,-15
73669,-2,8,-10,0
73670,-11,15,11,3
73671,-6,-14,4,5
73672,-8,-1,-8,-15
73673,12,-2,-9,-12
73674,-8,-1,6,-1
73675,15,-11,-5,4
73676,2,6,-12,4
73677,10,-8,5,12
73678,7,14,-9,12
73679,-11,-5,1,2
73680,-10,15,15,1
73681,-2,2,-15,-12
73682,11,7,9,6
73683,0,12,0,3
73684,-9,-5,-13,4
73685,-3,5,-15,-12
73686,-10,14,-10,0
73687,7,-10,6,8
73688,-7,-3,-6,4
73689,-10,15,5,13
73690,1,3,-9,10
73691,-11,11,-7,-11
73692,-11,11,-12,12
73693,-9,-1,2,7
73694,0,2,12,3
73695,12,13,7,13
73696,15,-9,11,-4
73697,5,2,0,2
73698,-2,5,5,-4
73699,-9,-15,9,-12
73700,1,-14,2,9
73701,8,-15,-9,-11
73702,4,4,-3,2
73703,-10,-12,-8,-3
73704,-14,-13,-7,3
73705,6,-1,5,13
73706,5,-15,4,13
73707,8,13,9,-13
73708,8,11,-2,-9
73709,-4,-6,-1,-4
73710,-5,11,0,-6
73711,-1,-15,-13,-9
73712,-3,0,-1,5
73713,-4,1,-1,-2
73714,8,-4,-6,-14
73715,-10,8,-13,-10
73716,8,11,-6,-13
73717,-2,-12,-2,9
73718,8,12,12,10
73719,8,10,6,-5
73720,-12,-12,-5,-9
73721,6,-15,-3,8
73722,7,2,10,2
73723,5,14,-12,-4
73724,12,11,-5,7
73725,-7,0,-8,-15
73726,7,-15,-13,-13
73727,4,9,-10,5
73728,9,11,-15,9
73729,-9,13,-11,2
73730,14,0,-8,10
73731,0,1,14,-6
73732,-3,8,-13,-6
73733,-9,1,-8,-10
73734,-14,4,-5,-2
73735,-9,-12,-12,-5
73736,-10,-11,10,6
73737,6,-15,5,15
73738,-6,-7,9,-11
73739,9,4,12,15
73740,-10,6,-4,9
73741,4,12,-14,0
73742,8,-5,-9,7
73743,1,-5,2,-8
73744,-1,6,-14,-4
73745,0,11,8,10
73746,-7,-6,10,-7
73747,1,-4,-15,6
73748,-4,3,-5,-3
73749,10,15,-7,9
73750,0,-12,-13,-13
73751,8,7,-1,7
73752,6,8,7,-11
73753,6,2,1,-6
73754,10,14,-1,2
73755,11,-6,-10,-8
73756,5,12,4,14
73757,-11,-9,15,-12
73758,7,-13,-13,-4
73759,-7,4,-6,-8
73760,-14,0,4,-8
73761,-11,-13,-12,9
73762,-1,13,-7,-14
73763,0,4,-15,7
73764,-4,5,2,-4
73765,-8,8,8,1
73766,-8,3,9,-4
73767,5,-10,-2,-13
73768,8,-2,-12,-11
73769,-1,-9,14,8
73770,-12,-6,8,-7
73771,5,7,10,-13
73772,4,4,13,9
73773,7,9,2,7
73774,-7,14,5,-13
73775,9,-6,4,-15
73776,15,-5,-9,-3
73777,7,-13,-15,14
73778,-1,-11,6,10
73779,-3,1,-14,7
73780,-11,-1,9,3
73781,2,-13,1,9
73782,-7,-9,15,2
73783,14,11,11,9
73784,4,0,7,-14
73785,-9,-3,11,-14
73786,1,12,-4,2
73787,10,7,-12,-5
73788,8,13,2,-2
73789,-1,12,-13,9
73790,-8,13,-14,10
73791,-12,-6,0,-2
73792,-11,4,-10,-11
73793,15,14,10,-6
73794,6,9,-5,8
73795,2,2,15,-13
73796,2,-15,12,2
73797,2,-8,-4,14
73798,10,4,0,-5
73799,-2,2,9,15
73800,11,10,7,-15
73801,-10,-13,10,-5
73802,-7,4,6,6
73803,-3,13,15,-8
73804,-3,9,8,15
73805,11,15,2,10
73806,12,-8,-9,11
73807,-14,3,6,-8
73808,-4,2,1,1
73809,-5,14,14,-9
73810,10,-6,-5,0
73811,-6,9,13,-2
73812,-15,-10,-10,-3
73813,7,2,13,-11
73814,-1,-7,-12,8
73815,10,-3,2,3
73816,14,10,5,-11
73817,13,1,-13,-10
73818,12,12,-7,-11
73819,-13,11,-7,4
73820,-8,-7,-10,0
73821,7,11,-6,10
73822,-4,5,-14,-3
73823,-11,5,-5,9
73824,-4,0,0,14
73825,-13,-4,3,5
73826,-10,9,12,-9
73827,8,-8,15,-6
73828,-14,-12,2,10
73829,-13,15,3,10
73830,10,5,-14,0
73831,-13,-14,-3,-12
73832,6,-13,-11,-12
73833,-11,13,-7,-10
73834,0,-5,-7,-15
73835,1,6,2,-9
73836,-3,0,12,-2
73837,12,15,-7,-9
73838,12,1,-8,2
73839,4,-14,6,-14
73840,9,-1,0,-5
73841,8,-1,-5,-13
73842,-15,-15,-9,-6
73843,5,-8,11,-5
73844,2,0,-8,-15
73845,-2,2,-11,2
73846,-9,-15,12,-12
73847,-13,12,-5,0
73848,-13,9,-12,-2
73849,-14,12,12,-12
73850,13,7,-15,5
73851,7,7,6,-10
73852,-13,-13,-1,10
73853,-9,10,-13,10
73854,-11,2,13,3
73855,-15,1,2,7
73856,4,8,2,-13
73857,-11,9,10,12
73858,1,12,-9,1
73859,6,14,-5,-9
73860,0,2,14,13
73861,-14,-5,-8,-8
73862,5,-10,11,-12
73863,15,-9,-4,-8
73864,-11,-15,1,-6
73865,14,9,4,-11
73866,-11,1,-7,-15
73867,12,-5,4,-12
73868,4,12,-9,15
73869,3,-14,-10,-6
73870,11,8,-2,5
73871,-14,-1,2,9
73872,2,-1,13,14
73873,8,-10,11,13
73874,-12,12,0,4
73875,10,-13,-8,10
73876,-4,8,8,-15
73877,-10,-13,1,-1
73878,1,-6,14,9
73879,11,-1,-15,8
73880,-14,-7,2,-3
73881,-12,5,-3,1
73882,-4,-10,5,12
73883,7,0,9,0
73884,13,-6,14,15
73885,15,6,11,-11
73886,2,14,-6,-10
73887,6,-7,-11,-2
73888,-1,-10,-14,-7
73889,-9,-11,-8,2
73890,15,7,-5,0
73891,1,8,-11,6
73892,1,-9,-13,0
73893,1,2,-8,13
73894,-13,4,-4,-12
73895,1,6,3,10
73896,15,-7,-2,14
73897,7,-13,4,-5
73898,-5,-6,-1,-3
73899,-6,3,-2,-12
73900,-11,-9,-4,-4
73901,-7,-14,-4,-4
73902,-14,-8,-15,-1
73903,10,-1,5,-4
73904,4,-7,-7,-1
73905,-3,1,13,5
73906,5,-5,-13,6
73907,14,-8,-9,1
73908,15,-11,1,-2
73909,0,13,-11,-6
73910,1,-8,-8,1
73911,8,-2,-7,6
73912,-4,4,-12,1
73913,-8,-2,6,8
73914,-2,2,0,-10
73915,-12,14,-4,5
73916,-12,-9,-7,12
73917,-11,5,11,2
73918,13,-15,15,5
73919,5,-9,-14,8
73920,-8,-15,-1,5
73921,-6,-4,-6,-12
73922,-5,4,12,3
73923,14,-11,-5,2
73924,13,2,-13,-13
73925,-1,-10,1,10
73926,-7,-4,-8,-15
73927,-11,0,15,8
73928,-7,14,-4,4
73929,10,5,-13,5
73930,-3,-4,1,-1
73931,-5,-8,2,13
73932,3,-13,1,10
73933,4,9,-14,15
73934,7,-11,-8,5
73935,14,7,1,3
73936,-7,9,7,10
73937,-11,10,7,8
73938,15,-1,-11,15
73939,-14,4,4,-9
73940,1,12,-2,6
73941,1,-15,-12,4
73942,-7,-9,10,-5
73943,-1,-5,-3,-13
73944,1,-13,-9,1
73945,-11,10,13,-14
73946,10,15,-13,-15
73947,-15,4,-7,8
73948,-1,0,-3,-4
73949,6,-15,-8,5
73950,-8,11,-13,1
73951,9,-10,6,-8
73952,-3,13,12,12
73953,-4,8,4,-1
73954,2,10,-9,-11
73955,9,8,-7,1
73956,-11,14,-15,11
73957,-1,-2,-13,4
73958,15,-5,0,14
73959,-4,4,3,-1
73960,-5,10,-5,12
73961,8,-11,10,-2
73962,-15,5,-2,3
73963,-3,10,-14,7
73964,-14,13,13,-6
73965,13,-15,-10,1
73966,14,-1,12,-14
73967,14,3,-11,-6
73968,-9,6,-7,-7
73969,4,15,15,-11
73970,-1,-1,-7,6
73971,3,-12,-10,5
73972,12,10,14,-14
73973,9,-1,-11,5
73974,-3,-9,2,-14
73975,11,9,3,-6
73976,0,13,14,13
73977,4,6,8,-6
73978,-14,3,11,7
73979,4,0,-3,-6
73980,-3,-3,-1,6
73981,-7,-14,-7,-1
73982,-15,-9,6,-1
73983,-4,-3,-7,11
73984,4,-15,6,-7
73985,13,6,14,1
73986,10,-4,-14,12
73987,-15,-15,9,-11
73988,5,13,-13,-12
73989,8,-3,-9,-13
73990,15,-12,-2,-12
73991,3,-4,-9,14
73992,1,2,9,11
73993,-5,-10,-2,9
73994,-4,4,2,-1
73995,-11,-3,-7,14
73996,-7,-11,14,-10
73997,6,-12,1,8
73998,12,-1,-13,8
73999,8,-8,-10,-4
74000,-10,1,3,-11
74001,14,-11,-7,3
74002,-3,-1,9,9
74003,8,4,-1,0
74004,-5,0,7,6
74005,9,12,14,-2
74006,14,-2,-9,-15
74007,6,7,-4,4
74008,8,6,8,-2
74009,-12,6,13,11
74010,9,-5,-2,-14
74011,14,-13,-13,-10
74012,11,6,7,6
74013,-5,0,0,-13
74014,-10,-6,-5,-4
74015,-2,5,-5,-3
74016,-11,-7,-4,-1
74017,11,-4,4,-12
74018,7,9,-6,12
74019,13,2,-6,12
74020,7,5,5,13
74021,-9,11,14,0
74022,-13,0,8,9
74023,-15,-9,12,9
74024,12,-6,9,0
74025,-10,-6,-14,-3
74026,-9,7,-14,-8
74027,-2,3,-8,7
74028,-9,8,9,-13
74029,1,8,1,-15
74030,-4,-4,11,-2
74031,4,10,12,-15
74032,-12,-8,-10,14
74033,-9,0,6,-7
74034,-12,9,-2,-5
74035,2,8,13,0
74036,15,-14,-2,-7
74037,-15,-4,-12,9
74038,-14,7,-5,-9
74039,-2,-9,-12,-13
74040,-4,0,-1,14
74041,-6,2,-11,-13
74042,-10,8,-14,5
74043,-9,13,1,14
74044,-5,-9,1,11
74045,-6,12,3,-3
74046,0,-6,-8,6
74047,-14,-5,-8,8
74048,6,-7,-5,-14
74049,5,-7,-1,-13
74050,-6,-4,-5,2
74051,11,13,-2,8
74052,15,1,15,2
74053,-15,9,6,-8
74054,2,3,-4,-9
74055,-8,-3,2,4
74056,-10,8,-9,-12
74057,12,3,0,-2
74058,3,13,-15,2
74059,7,3,3,-4
74060,-9,12,8,13
74061,14,-2,9,2
74062,3,2,10,-1
74063,-6,13,1,1
74064,0,-15,0,13
74065,6,-11,-1,-2
74066,9,11,-13,4
74067,11,-8,-2,-14
74068,14,-7,7,11
74069,-9,-13,-7,5
74070,-7,-14,0,-8
74071,-9,10,-7,-1
74072,1,-5,8,-10
74073,3,-8,-7,-14
74074,8,9,-5,-14
74075,-12,-4,-5,9
74076,-9,3,13,15
74077,10,4,13,-10
74078,7,12,-3,6
74079,-15,-2,9,2
74080,-11,-5,-6,-7
74081,-3,-6,11,-13
74082,-4,1,7,-2
74083,-2,-8,15,10
74084,-15,-15,1,-10
74085,-8,-4,5,8
74086,2,13,-3,0
74087,15,-10,5,11
74088,-12,-14,-3,12
74089,-15,-12,-10,9
74090,-9,-5,-15,2
74091,-13,-8,11,10
74092,2,-3,2,0
74093,-13,-7,9,-9
74094,5,3,13,15
74095,-9,10,12,-2
74096,-15,-11,2,12
74097,11,-11,13,-14
74098,0,-15,-13,-1
74099,-14,3,11,-5
74100,-5,-3,-6,-3
74101,2,7,0,2
74102,13,12,-9,-14
74103,4,3,-3,0
74104,3,-11,3,-10
74105,-8,9,5,8
74106,-13,4,7,-13
74107,7,-14,-1,10
74108,15,-6,-2,12
74109,12,9,-11,2
74110,-14,14,-15,-3
74111,-7,-6,11,-11
74112,5,8,-9,-14
74113,11,1,4,13
74114,-2,9,2,-15
74115,2,3,-11,14
74116,8,-2,13,12
74117,-6,13,-14,5
74118,7,6,2,15
74119,14,-11,-1,12
74120,-13,-2,9,7
74121,-13,7,-2,14
74122,-14,5,-11,2
74123,5,11,11,0
74124,-12,1,-14,15
74125,1,-11,-1,-10
74126,-5,-9,-1,14
74127,-10,7,2,-8
74128,1,10,15,4
74129,-14,-14,-4,7
74130,-12,9,11,-1
74131,-6,4,3,11
74132,-12,-9,13,0
74133,-9,-3,-8,4
74134,2,8,10,-10
74135,4,-4,12,5
74136,-15,13,4,0
74137,-10,4,7,13
74138,-12,-7,-9,7
74139,-11,5,-3,-9
74140,11,-5,7,-9
74141,-4,-2,15,10
74142,11,-9,-14,-6
74143,-5,-7,6,-4
74144,-5,-10,-6,-13
74145,-5,-4,-13,12
74146,-2,13,-14,15
74147,15,14,-14,5
74148,-2,10,4,13
74149,8,-3,14,-11
74150,11,1,-7,-4
74151,-14,1,4,9
74152,-14,-4,-8,-5
74153,-2,11,-10,6
74154,13,4,-5,2
74155,6,-15,-13,-6
74156,-3,-10,3,10
74157,6,12,10,-10
74158,6,-10,-3,-14
74159,10,-1,15,2
74160,-13,-7,-8,11
74161,-4,15,11,7
74162,13,10,-9,-3
74163,-2,12,14,-8
74164,-6,-10,-9,0
74165,14,14,-2,-13
74166,6,-5,12,-14
74167,-8,-9,5,7
74168,-5,-9,-2,-13
74169,2,14,11,13
74170,-7,9,15,14
74171,-12,2,3,10
74172,10,4,6,3
74173,-13,6,11,13
74174,10,4,-11,-8
74175,5,9,-15,14
74176,4,6,-13,-5
74177,2,11,-9,-8
74178,3,12,3,-13
74179,13,2,-7,3
74180,9,-9,-8,14
74181,-14,-6,-14,-14
74182,-5,-11,8,6
74183,-9,-11,12,-3
74184,5,4,15,2
74185,-3,9,10,-13
74186,-9,7,13,11
74187,5,6,-13,8
74188,9,2,8,0
74189,-9,-11,-13,-14
74190,-11,14,5,-11
74191,-9,-9,-2,-5
74192,6,-10,-12,1
74193,8,3,5,15
74194,-13,2,15,10
74195,7,13,11,8
74196,9,14,-14,-3
74197,9,-14,-6,0
74198,-12,-9,4,-3
74199,-13,6,9,12
74200,-7,-8,1,-11
74201,-1,-3,-8,10
74202,1,-5,6,-11
74203,-15,-8,-5,0
74204,12,-2,-8,-10
74205,-15,12,6,-2
74206,8,-9,-3,9
74207,10,11,-5,8
74208,0,-6,-1,14
74209,-11,-8,-3,2
74210,14,2,0,-8
74211,10,15,-13,8
74212,5,2,15,-12
74213,15,-3,-15,-6
74214,2,3,13,-12
74215,-11,0,13,-5
74216,-1,15,-5,-8
74217,-8,-3,12,5
74218,14,9,-7,-6
74219,-14,3,-15,13
74220,6,-12,13,-10
74221,-1,-6,2,-4
74222,5,-10,3,6
74223,6,-11,0,-15
74224,-8,10,-8,4
74225,0,3,15,-9
74226,15,-2,-11,10
74227,-9,4,-12,-8
74228,14,2,-5,-1
74229,12,-5,-1,14
74230,0,0,8,-15
74231,12,13,12,7
74232,13,1,-12,12
74233,6,-7,6,13
74234,-10,11,-7,-12
74235,14,-8,-10,-7
74236,-8,-6,10,7
74237,0,6,6,13
74238,2,15,-11,-13
74239,12,-6,13,-5
74240,-12,14,-10,-3
74241,-13,15,12,-4
74242,2,-12,-8,5
74243,15,12,2,-14
74244,3,2,11,-2
74245,-9,1,3,-3
74246,-14,8,-3,12
74247,3,11,6,0
74248,9,8,12,10
74249,5,-14,5,-3
74250,7,-3,-10,-12
74251,-9,10,11,7
74252,-7,-12,6,0
74253,-7,0,-8,10
74254,-11,8,11,-9
74255,-5,-9,8,-3
74256,-6,-11,0,-12
74257,8,13,5,-12
74258,-8,1,11,-3
74259,-3,-3,0,-2
74260,-15,2,-3,-6
74261,-14,0,-2,-4
74262,13,13,0,-2
74263,-11,12,-7,3
74264,4,13,12,3
74265,10,-11,-13,-12
74266,4,6,4,6
74267,-2,-12,15,14
74268,0,1,4,6
74269,-11,-5,2,-2
74270,13,4,-13,-15
74271,8,-9,11,11
74272,-15,5,12,3
74273,-5,14,12,-9
74274,-13,9,4,6
74275,-15,3,-3,8
74276,8,-14,3,-14
74277,-3,15,13,2
74278,6,0,-14,-13
74279,3,-4,-6,2
74280,-15,-7,2,-8
74281,-2,3,0,6
74282,11,5,7,0
74283,4,-14,-8,12
74284,10,-8,7,-10
74285,3,-8,-12,4
74286,8,-13,-6,4
74287,-13,13,9,10
74288,-15,6,11,11
74289,-7,-10,10,1
74290,-10,-13,-9,-5
74291,0,-9,-4,-8
74292,11,14,10,15
74293,-14,-14,-15,-5
74294,-2,-4,6,-5
74295,14,12,3,-11
74296,10,-8,5,-8
74297,-5,-15,14,-8
74298,8,-1,-7,6
74299,15,-15,8,8
74300,15,11,10,3
74301,-7,12,5,-11
74302,-7,-6,-12,0
74303,-4,10,11,7
74304,12,-8,12,-2
74305,-5,14,-13,10
74306,7,-13,8,7
74307,-9,1,0,-15
74308,13,5,-9,3
74309,14,0,14,9
74310,2,13,-12,-5
74311,-5,1,15,4
74312,11,13,-2,3
74313,-8,-13,9,3
74314,15,5,-14,5
74315,0,7,-5,-7
74316,9,15,12,4
74317,-14,-15,-8,4
74318,13,-3,-12,15
74319,-6,13,-12,4
74320,-13,-12,6,-4
74321,0,12,2,-15
74322,-10,-3,14,-10
74323,-15,12,15,-2
74324,4,8,13,-15
74325,-8,-3,-13,2
74326,1,5,-13,8
74327,14,0,-12,7
74328,6,-6,-1,12
74329,5,9,-4,5
74330,0,6,-8,9
74331,-5,-8,-7,-13
74332,15,12,4,-8
74333,-11,-12,14,-13
74334,3,6,10,7
74335,7,-2,1,13
74336,12,3,-2,-5
74337,-10,13,3,-8
74338,-6,14,15,-10
74339,-8,10,8,-7
74340,5,6,13,-5
74341,2,4,10,-5
74342,-9,14,13,-4
74343,-12,-4,-9,-5
74344,14,5,13,-4
74345,-8,-3,-9,-4
74346,-10,-15,-6,3
74347,3,8,-4,-12
74348,-1,-15,0,-7
74349,-5,4,-15,-15
74350,-8,-2,-1,4
74351,-8,-2,2,3
74352,-2,9,2,-12
74353,2,-2,7,-12
74354,2,-13,-10,12
74355,6,8,2,10
74356,-13,-7,-9,13
74357,5,11,-7,7
74358,-7,-7,7,3
74359,-10,-4,6,9
74360,-2,3,-8,-12
74361,-13,8,15,3
74362,-5,-12,4,-15
74363,15,4,-2,11
74364,-4,-9,1,-1
74365,7,-6,11,13
74366,-2,12,14,4
74367,8,10,13,-3
74368,5,11,-6,-8
74369,-7,12,1,15
74370,-2,-15,14,14
74371,-11,-9,-11,11
74372,-15,-8,7,13
74373,3,-5,2,5
74374,2,1,6,14
74375,8,0,-3,-4
74376,-6,-8,2,8
74377,7,-7,4,1
74378,12,-5,-3,13
74379,-15,9,-6,-3
74380,0,14,-8,7
74381,13,5,15,12
74382,0,-5,15,-11
74383,-13,-4,9,-15
74384,-4,4,-7,3
74385,9,-5,-7,-7
74386,0,7,7,-10
74387,13,2,1,7
74388,13,-5,-14,-7
74389,-1,15,12,-10
74390,-11,-4,-6,10
74391,-13,-12,-7,12
74392,-3,-5,-6,-2
74393,-12,1,-10,10
74394,-6,-4,-9,-7
74395,-11,-13,9,14
74396,-1,-11,-7,13
74397,2,0,5,9
74398,8,-11,0,-10
74399,-15,5,3,-4
74400,-11,10,9,3
74401,0,7,-10,6
74402,12,1,-11,-5
74403,-3,4,-7,2
74404,-9,7,11,-3
74405,12,5,-13,15
74406,-11,-3,-3,4
74407,-8,-13,7,10
74408,-10,-9,7,-5
74409,-7,-10,12,-14
74410,14,14,-3,4
74411,-1,2,0,1
74412,-2,3,-9,14
74413,-11,1,0,-5
74414,-10,-6,-10,-8
74415,12,-5,6,-6
74416,-11,9,15,15
74417,7,-3,14,-14
74418,15,-7,11,-4
74419,13,-9,-5,3
74420,2,13,-6,9
74421,-9,-13,-12,-11
74422,2,12,-5,12
74423,-3,-5,-11,-6
74424,1,9,14,10
74425,-10,5,13,-14
74426,-1,7,10,11
74427,5,13,-10,-8
74428,-5,-9,9,5
74429,12,9,13,-14
74430,-5,-4,-8,-13
74431,-3,2,-7,-15
74432,2,-1,-3,-12
74433,-14,2,10,5
74434,3,8,11,9
74435,0,9,-1,-7
74436,-8,-5,-14,-9
74437,-13,8,6,-9
74438,14,3,0,-1
74439,-11,0,-12,2
74440,8,5,1,12
74441,15,13,-15,5
74442,15,1,-1,-1
74443,-6,10,-10,-10
74444,-3,10,-8,7
74445,-9,6,-15,-11
74446,4,8,1,14
74447,3,-12,-7,-7
74448,-2,0,-9,4
74449,-15,-9,-4,10
74450,-11,9,3,-9
74451,0,3,-3,-5
74452,-3,-5,-3,-11
74453,6,1,0,8
74454,-4,-8,10,13
74455,6,-15,-13,12
74456,0,3,-11,1
74457,5,-3,10,-1
74458,4,13,9,10
74459,1,-9,-10,13
74460,0,5,10,9
74461,15,3,11,0
74462,7,-8,-6,13
74463,-6,6,-15,-9
74464,2,14,-3,-13
74465,2,8,2,-13
74466,0,-2,-15,-11
74467,-6,1,15,-15
74468,-13,-12,-7,-7
74469,-9,-14,5,14
74470,-2,-12,-3,8
74471,-11,-3,14,-10
74472,13,11,14,-7
74473,5,10,-12,11
74474,-14,12,5,15
74475,-8,-14,-2,13
74476,7,3,-2,-9
74477,2,-2,-14,7
74478,3,5,-7,0
74479,11,-8,-12,8
74480,-6,11,-1,-7
74481,2,-12,0,-7
74482,-15,-4,-15,-1
74483,-12,-9,7,2
74484,1,-15,0,-7
74485,-15,-13,-4,0
74486,4,15,1,-7
74487,-1,13,-8,-12
74488,-7,-5,15,-3
74489,8,-12,-4,-12
74490,-3,-11,4,-8
74491,12,2,-15,1
74492,2,0,3,0
74493,0,-8,14,-10
74494,-3,-9,14,3
74495,-13,-7,10,-3
74496,11,-4,-5,1
